City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Salalah,OM,77.0,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
1,Ambilobe,MG,76.06,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
5,Bata,GQ,80.6,scattered clouds,1.86,9.77,Hotel Carmen
6,Bubaque,GW,79.77,overcast clouds,11.28,-15.83,Casa Dora
14,Weligama,LK,81.1,broken clouds,5.97,80.42,Weligama Bay Resort
26,Kulhudhuffushi,MV,83.35,overcast clouds,6.62,73.07,Haajy Guest House 1
30,Keningau,MY,78.8,thunderstorm with light rain,5.34,116.16,Sabindo Hotel
35,Santiago Del Estero,AR,78.44,broken clouds,-27.8,-64.26,Hotel Urbano
36,Atuona,PF,78.19,light rain,-9.8,-139.03,Villa Enata
37,Vila Velha,BR,78.8,broken clouds,-20.33,-40.29,Hotel Vitória Palace
39,Lastoursville,GA,83.03,moderate rain,-0.81,12.73,Auberge Bon Coin 02
40,San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,Pirineos
42,Buala,SB,79.79,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
46,Hithadhoo,MV,82.44,overcast clouds,-0.6,73.08,Scoop Guest House
47,Butaritari,KI,82.31,few clouds,3.07,172.79,Isles Sunset Lodge
51,Rosaryville,US,78.01,light rain,38.76,-76.81,Bragg Motel
53,Harper,LR,78.84,broken clouds,4.38,-7.72,Screensaver
56,Karratha,AU,77.59,clear sky,-20.74,116.85,ibis Styles Karratha
60,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
62,Dossor,KZ,86.86,overcast clouds,47.53,52.98,"Gostinitsa Orpk ""Nauryz"""
64,Maloh,PH,80.42,overcast clouds,9.06,122.99,Edz
65,Itoman,JP,84.2,shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
68,Daru,PG,77.7,light rain,-9.08,143.21,New century hotel
72,Sao Filipe,CV,80.67,overcast clouds,14.9,-24.5,Tortuga B&B
74,Nouadhibou,MR,84.2,clear sky,20.93,-17.03,El Medina
76,Galesong,ID,84.2,few clouds,-5.32,119.37,Sapriadi Appy
77,Isla Aguada,MX,82.4,broken clouds,18.78,-91.47,Freedom Shores
79,Ugoofaaru,MV,83.68,broken clouds,5.67,73.0,Ungoofaaru Inn
86,Karonga,MW,79.97,overcast clouds,-9.93,33.93,Sumuka Inn
88,Bouna,CI,83.71,light rain,9.27,-3.0,Hotel Reserve
90,Lata,PT,78.01,clear sky,40.16,-8.33,Casa Maquia
94,Sibolga,ID,78.21,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
96,Georgetown,MY,86.0,few clouds,5.41,100.34,Cititel Penang
99,Gat,IL,89.01,clear sky,31.61,34.76,רגע בנחת
101,Iralaya,HN,84.81,clear sky,15.0,-83.23,Iglesia morava renovada
102,Marshall,US,82.0,light rain,34.38,-86.33,Lake Guntersville Bed and Breakfast
107,Tecoanapa,MX,77.88,overcast clouds,16.52,-98.75,Hotel Manglares
108,Esmeraldas,BR,78.8,scattered clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
