City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Salalah,OM,17.02,54.09,77.0,94,90,5.82,overcast clouds
1,Ambilobe,MG,-13.2,49.05,76.06,61,0,0.6,clear sky
2,Whitehorse,CA,60.72,-135.05,46.4,93,75,4.7,light rain
3,Punta Arenas,CL,-53.15,-70.92,37.4,86,75,16.11,light intensity shower rain
4,Palmer,US,42.16,-72.33,70.0,100,90,2.62,moderate rain
5,Bata,GQ,1.86,9.77,80.6,88,40,9.17,scattered clouds
6,Bubaque,GW,11.28,-15.83,79.77,81,100,18.32,overcast clouds
7,Aklavik,CA,68.22,-135.01,37.4,100,40,2.24,scattered clouds
8,Cape Town,ZA,-33.93,18.42,53.6,54,75,19.46,broken clouds
9,Qaanaaq,GL,77.48,-69.36,39.31,69,0,4.25,clear sky
10,Inuvik,CA,68.35,-133.72,37.4,63,20,9.17,few clouds
11,Lebu,CL,-37.62,-73.65,46.58,59,1,14.14,clear sky
12,Perth,AU,-31.93,115.83,51.01,81,8,1.12,clear sky
13,Mataura,NZ,-46.19,168.86,48.47,87,100,6.89,overcast clouds
14,Weligama,LK,5.97,80.42,81.1,79,72,12.01,broken clouds
15,Sabha,LY,27.04,14.43,103.42,11,0,4.52,clear sky
16,Bluff,NZ,-46.6,168.33,52.32,82,100,30.98,overcast clouds
17,Avarua,CK,-21.21,-159.78,71.6,83,4,10.29,clear sky
18,Tiksi,RU,71.69,128.87,43.0,82,0,6.87,clear sky
19,Uren,RU,57.46,45.79,62.47,88,63,7.65,light rain
20,Rikitea,PF,-23.12,-134.97,69.3,68,90,6.22,overcast clouds
21,Dikson,RU,73.51,80.55,44.91,98,100,6.08,overcast clouds
22,Busselton,AU,-33.65,115.33,44.01,64,0,6.67,clear sky
23,Thompson,CA,55.74,-97.86,48.2,93,90,4.7,mist
24,Albany,US,42.6,-73.97,71.01,91,100,6.22,overcast clouds
25,Vostok,RU,46.49,135.88,49.55,100,100,3.83,heavy intensity rain
